id_A,id_B
1436,8709
14120,11777
16109,672
2008,13149
1025,10324
15787,926
8217,13239
9519,6138
13285,1265
12295,9685
14697,607
12841,3721
7561,12838
2194,9474
4224,2951
14429,1480
3788,12479
161,7352
15018,3412
11945,4740
7720,2948
3284,10528
8138,9050
11758,5364
12364,9004
17099,6098
18488,6483
4389,3573
11379,13382
14484,3365
9315,5781
15565,10034
7078,8183
12399,6054
9795,4048
7454,12262
9300,10258
7317,6819
12242,8915
4077,1719
10328,3798
10841,2309
17166,13503
14674,8118
8947,11241
5989,2119
1587,12274
1348,12182
8023,2459
3671,405
3386,8284
9071,487
17510,3908
13734,2918
12022,6393
2090,5177
11385,2334
14884,10598
9343,5378
14116,7507
4432,12162
11359,10035
9969,1190
10234,9215
976,12761
3019,72
15056,8902
12938,4762
6733,2254
15051,2347
8075,3438
5720,1217
15531,2972
14182,3694
14691,10885
5369,11133
2908,9042
2021,10783
7239,12634
10148,3373
5409,6019
14965,8091
2664,3254
10363,12371
8973,1055
12200,3125
5741,7103
10154,7747
4284,2060
16199,7440
88,7956
18362,6530
11388,10879
14867,850
782,3396
17914,822
4267,7858
192,5167
1993,2229
2320,5315
16461,5083
3657,12547
8004,4894
3465,5540
10765,7489
11398,11961
16034,5865
17376,10550
13055,7920
16162,11898
5964,10997
2555,12537
7718,6498
12751,10540
2770,6659
9991,5163
16521,7617
11364,7546
6187,10774
1473,1133
18189,8339
13960,8282
7693,9028
14427,1128
380,8789
14019,11066
15947,11591
9894,7196
405,6399
7777,10144
9704,4903
3785,4074
6453,12522
8481,678
1033,13481
1250,2366
10886,7913
15555,8936
1719,3318
14764,1129
15317,7150
15913,12712
457,11525
15700,10800
1064,7637
6455,182
16321,8603
13187,2794
6148,1003
6043,5439
7525,5570
1911,555
17019,7046
1884,5260
53,4665
12106,2875
16021,13294
5814,7705
16775,13653
8312,11111
16439,3575
7242,725
10424,8813
16540,13191
610,3626
12580,5697
16455,10207
8894,875
14133,3885
14270,9946
3399,7158
6687,4830
9689,682
7532,11130
15655,4393
14544,13411
660,6700
16270,5208
13805,9191
11810,12947
13613,5193
14318,10346
11744,1016
912,10670
8245,12150
10138,2494
18030,3037
15178,932
1689,1169
264,7999
10502,3167
6953,11823
6852,11195
334,7887
17406,6066
7159,5049
14325,13236
14789,4617
17126,11046
10207,368
12622,9146
622,5097
4400,170
5889,3258
8691,10812
13026,6540
11147,8063
18028,228
9454,1123
18502,10580
14400,3643
13401,1883
108,4008
9997,879
10390,1520
17566,13685
10746,9140
6249,10561
8834,10050
10869,4468
16163,11259
12162,7581
672,5065
15126,12954
5364,5075
6413,8647
10889,2809
3184,12100
10110,9292
11955,176
16409,2603
13214,4350
650,12718
7579,4880
757,4852
2511,1741
17058,1700
10850,1252
7730,8300
5188,8465
15470,1653
4447,4560
2572,12738
6823,5192
12623,265
2322,1995
13256,3666
518,1113
8290,12753
16871,1547
4269,5463
17883,5122
7341,324
4606,11912
10651,7515
9955,251
15271,3032
7897,6187
1581,13604
8003,606
10920,10097
13726,1654
5793,1919
10386,7042
10354,354
13339,8602
6293,6493
13356,4056
13641,7770
11140,3889
3321,9511
6352,4157
2185,2567
16754,4478
282,2872
10753,5109
9606,12092
96,745
16367,2236
2255,9153
15819,937
5971,4600
18473,8338
7523,8043
15901,7239
887,9336
11400,1434
5498,9761
8730,7184
7305,4611
4902,2124
6944,350
433,7275
1235,10794
1089,8661
9273,10752
7355,8368
18250,5017
9338,4457
7459,12737
8219,11288
15874,6612
3552,3097
10404,10852
5771,8186
4027,8719
3102,6357
12190,10956
6706,2029
10392,395
3956,5745
2177,11934
979,6386
11065,1402
3129,5869
13201,13250
7224,6879
18186,10966
3387,639
10136,9094
10472,949
8473,5689
9578,4408
16326,564
13140,3314
4335,6030
7840,3425
18052,6850
15620,2785
6286,5904
13168,3664
7810,11694
12369,4017
5178,2927
